glottocode,LANGUAGE,FAMILY,MARKER,GLOSS,STATUS,AFFIXED_TO,NEG_SCOPING_OVER,AFFIX_SCOPING_OVER_NEG,EXAMPLE,GLOSS,TRANSLATION,COMMENT,REFERENCE,TYPE_OF_REFERENCE,PAGE,PAGE_EXTRA,,,
mapu1245,Mapudungun,Araucanian,-ki ,NEG,suffix,,,OBJ,Kümé pe-nie-la-fi-n ñi pinta-le-n kam ñi pinta-le-nu-n,good see-PRPS-NEG-EDO-IND1s poss3 paint-ST-PVN or poss3 paint-ST-NEG-PVN,I cant see (it) well whether it is painted or not.,Imperative suffix // EDO = External Direct Object,Smeets (2008) ,Grammar,193,,,,
mapu1245,Mapudungun,Araucanian,-la ,NEG,suffix,,,PERSON,Ngilla-la-ya-y kofke nie-nu-lu plata,Buy-NEG-NRLD-IND-3 bread have-NEG-SVN money,he who has no money will not buy bread,occurs in indicative forms // ,Smeets (2008) ,Grammar,189,,,,
mapu1245,Mapudungun,Araucanian,-nu ,NEG,suffix,,,PERSON,"iñché küdaw-me-nu-a-fu-l-i Arxentina, pepí wew-la-ya-fu-n plata","I work-TH-NEG-NRLD-IPD-COND-1-s Argentina, being.able earn-NEG-NRLD-IPD-IND1s money","If I had not gone to work to Argentina, I would not have earned money","Conditional forms, subordinates or nominal constructions",Smeets (2008) ,Grammar,242,,,,
mapu1245,Mapudungun,Araucanian,-ki ,NEG,suffix,,CAUS,,Lang-üm-ki-fi-l-nge tüfa-chi üñüm,Die-CAUS-NEG-EDO-COND-IMP2 this-ADJ bird,Don’t kill that bird!,Imperative suffix,Smeets (2008) ,Grammar,243,,,,
mapu1245,Mapudungun,Araucanian,-la ,NEG,suffix,,STAT,,La-le-la-y,Die-ST-NEG-IND-3,He/She is not dead,occurs in indicative forms // STATIVE,Smeets (2008) ,Grammar,243,,,,
ashe1272,Ashaninka Alto Perené,Arawakan,te ,NEG,particle,,,PERSON,te=i-yo-t-e,NEG-REL=3M.S-know-EP-IRR,He didn’t know,Negative Realis,Mihas (2009),Grammar,42,,,,
gari1256,Garifuna,Arawakan,Ma-un,NEG,circumfix,,,DISTR,N-ugúya mé-ydi-n-ha-dì-na ábangu hé-ydin-gwa Meríg-on há n-áni-gu padná,1.SG-DEM NEG-go:SU1-NEG-DISTR-DI-1.SG because 3.PL-go:SU1-gwa M.-all 3.PL:DEM 1.SG-CLF-COL friend,I don’t go anymore because my friends moved to the States,,Haurholm-Larsen (2016),Grammar,138,,,,
gari1256,Garifuna,Arawakan,Ma-un,NEG,circumfix,,,DUR,M-amúrigu-n-gì:-di-na,NEG-comb-NEG-DUR-DI-1.SG,I still haven’t combed myself,,Haurholm-Larsen (2016),Grammar,136,,,,
gari1256,Garifuna,Arawakan,Ma-un,NEG,circumfix,,,PERSON,dan h-arínhi-n key m-agíribudù-n-ha-l-i lán él ában bulú h-amé-y,Time 3.PL-see-USPEC like NEG-return-NEG-PRF-DI-3.M IRR 3.M:DEM one dive 3.PL-PRF-3.M ,"When they saw that the other one did not return (to the surface), they dove (after him)",,Haurholm-Larsen (2016),Grammar,66,131,,,
gari1256,Garifuna,Arawakan,ma-,NEG,prefix,,,,M-adíbiragwà-güda l-umú-t-u baráwa gurúyara,NEG-sink-CAUS 3.M-PST-TI-3.F sea canoe,the sea doesn’t make the canoe sink,,Haurholm-Larsen (2016),Grammar,196,,,,
gari1256,Garifuna,Arawakan,ma-,NEG,prefix,,,,m-eréde-ti-nyu há abéüda-ha úraga sún áriyebu ,NEG-stay-TI-3.PL 3.PL:DEM tell-DISTR story all at.night,they didn’t stay and tell stories all night,,Haurholm-Larsen (2016),Grammar,195,,,,
tari1256,Tariana,Arawakan,-ka(de),NEG,circumfix,,,HAB ,Mema-de-hyuna-mha pa-yeka,NEG+sleep-NEG-HABIT-PRES.NONVIS IMP-be.ble,"One cannot sleep, one listens",HABIT = Habitual,Aikhenvald (2003),Grammar,297,,,,
tari1256,Tariana,Arawakan,-ka(de),NEG,circumfix,,,PRES,nawiki ma:-kade-wani-naka,person NEG+go-NEG-CL:ABSTR-PRES.VIS,This is a place where people do not go,Pres.Vis = present visual,Aikhenvald (2003),Grammar,96,,,,
tari1256,Tariana,Arawakan,-ka(de),NEG,circumfix,,,PST,ne inaru pa:-ma ma-ka-kade-sina ne-pedalia-ma-misini ne-ma-ka-kade-sina,NEG woman one-CL:FEM NEG-see-NEG-REM.P.INFR NEG-old-CL:FEM-TOO:PART-CONTR NEG-NEG-see-NEG-REM.P.INFR,"Not a single woman saw it, not an old woman, either",REM-PAS,Aikhenvald (2003),Grammar,97,,,,
tari1256,Tariana,Arawakan,-ka(de),NEG,circumfix,,,RECP,ma-thuka-i-ta-kade-kaka=tha=pidana=bosa=niki=ka,NEG-break-CAUS1-CAUS2-NEG-REC=FRUST=REM.P.INFR=SLIT.OPEN=COMPL=SUB,While (they) apparently did not break each other by splitting open totally in vain…,,Aikhenvald (2003),Grammar,254,,,,
tari1256,Tariana,Arawakan,-ka(de),NEG,suffix,,,UNCERT,I-na yapirikuri di-ñami-ni-kada-nuku mhesiki kai-kade-da,2pl-OBJ God 3pl-die-TOP.ADV-CL:DAY-TOP.NON.A/S hunger hurt-NEG-UNCERT,You probably don’t feel hungry on Good Friday.,vp? ,Aikhenvald (2003),Grammar,389,,119,,
tari1256,Tariana,Arawakan,-ka(de),NEG,circumfix,,CAUS,,kwe ma-die-ta-de na-yeka,how NEG-return+CAUS1-CAUS2-NEG 3pl-can/be.able ,They (Maku people) did not know how to give back (the Tariana child),,Aikhenvald (2003),Grammar,245,,,,
tari1256,Tariana,Arawakan,-ka(de),NEG,suffix,,PASS,,Nhesiri-kana-de-mha,Like-PASS-NEG-PRES.NONVIS,"(When people use a funny nickname), (it) is not liked",,Aikhenvald (2003),Grammar,260,,,,
tari1256,Tariana,Arawakan,ma-V-ka(de) ,NEG,circumfix,,,PURP,ma-sita-i-ta-kaka-kade-karu=pidana=pita=niki ,NEG-smoke-CAUS1-CAUS2-REC-NEG-PURP.VIS=REM.P.REP=AGAIN=COMPLETELY,(We) did not make each other smoke (reportedly) again at all,,Aikhenvald (2003),Grammar,4,,,,
baka1277,Bakairi,Cariban,-pa/ba ,NEG,suffix,,,HORT ,T-ətə-õ-ã-ba-ne i-kə mərarə,3R-go-ITE-DAT-NEG-HORT COP-IMP DIST,Do not go there anymore,Negator for Type I verbs,de Faria Junior (2022),Grammar,127,,,,
baka1277,Bakairi,Cariban,-pa/ba ,NEG,suffix,,,PL,karaiua ke-ba-modo Ø-a-uɨlɨ-mo,foreigner PT-NEG-PL 3S-COP1-IPFV-PL,They are non-foreigners (i.e. natives),Negator for Type I verbs,de Faria Junior (2022),Grammar,162,,,,
baka1277,Bakairi,Cariban,-pa/ba ,NEG,suffix,,BEN,,T-əe-to-ĕ-ba-ne i-kə siarə,3R-come-NZR3-BEN-NEG-HORT COP-IMP here,Do not come here anymore,Negator for Type I verbs,de Faria Junior (2022),Grammar,127,,,,
baka1277,Bakairi,Cariban,-pa/ba ,NEG,suffix,,DES,,ɨ-(i)huge-dɨze-ba,1S-fall-DESI-NEG,I don’t want to fall,Negator for Type I verbs,de Faria Junior (2022),Grammar,124,,,,
baka1277,Bakairi,Cariban,-pa/ba ,NEG,suffix,,OBJ (PREFIX),,N-əku-ba,3O-climb-NEG,He didn’t climb it,Negator for Type I verbs,de Faria Junior (2022),Grammar,49,,,,
baka1277,Bakairi,Cariban,-pɨra/bɨra ,NEG,suffix,,PERSON,,K-iga-pɨra,1A-invent-NEG,I don’t invent it,negator for Type II verbs,de Faria Junior (2022),Grammar,49,,,,
baka1277,Bakairi,Cariban,-pa/ba ,NEG,suffix,,PERSON (PREFIX),,N-ige-pa ,3S-die-NEG,He didn’t die,Negator for Type I verbs,de Faria Junior (2022),Grammar,49,,,,
waiw1244,Wai Wai,Cariban,-hto,NEG+NMLZ,suffix,,,POSS,noro moku-hto-rî ke,3PRO come-NEG+NMLZ-POSN because,because of his not coming,,Hawkins (1998),Grammar Sketch,91,,,,
waiw1244,Wai Wai,Cariban,-hra ,NEG,suffix,,ADVZR,,kaî-pe-ra ro mak w-∅-a-sî ,Strong-ADVZR-NEG very much 1S-be-SF-INP,"My head hurts, I am dizzy, I am just very weak",,Hawkins (1998),Grammar Sketch,39,,,,
waiw1244,Wai Wai,Cariban,-hra ,ADVZR+NEG,suffix,,CAUS,,En-po-ra ar-ko,see-CAUS-ADVZR+NEG carry-2IMP,Take it without showing it,,Hawkins (1998),Grammar Sketch,35,,,,
waiw1244,Wai Wai,Cariban,-hra ,NEG,suffix,,CAUSE,,a-poî-mam-nopî-ra ∅-x-a-kn̂e,2O-large-VSF-CAUSE-NEG 3S-be-SF-UP,He did not raise you,I believe CAUSE is CAUS and it is a mistake in the reference. VSF = Verbalizing stem formative,Hawkins (1998),Grammar Sketch,51,,,,
waiw1244,Wai Wai,Cariban,-hra ,NEG,suffix,,POSS,,Warawa-n-ta-ra,Buy-POSN-VSF-NEG,not buying,,Hawkins (1998),Grammar Sketch,172,,,,
waiw1244,Wai Wai,Cariban,-hra ,NEG,suffix,,VBZ,,onoke na een̂-a-taw a-wya yî-mtapo-ta-re-r es-ko,who UNCER see-SF-INP 2-to/by 3-talk-VBLZ-CAUSE-NEG be-2IMP,Do not greet anyone you meet,,Hawkins (1998),Grammar Sketch,59,,,,
waiw1244,Wai Wai,Cariban,-r  ,NEG,suffix,,,,Oy-ahsî-r es-ko,1-hold-NEG be-2IMP,Don’t hold me,change between the positive and negative imperative,Hawkins (1998),Grammar Sketch,28,,,,
waiw1244,Wai Wai,Cariban,-pîn ,NMLZ+NEG,suffix,,,,way-pîn mîk xîpîrî,die-NMLZ+NEG 3PRO howler.monkey,Howler monkeys never die!,,Hawkins (1998),Grammar Sketch,32,,,,
waiw1244,Wai Wai,Cariban,-hra ,NEG,suffix,,,,tî-mxîk-rî xe-ra n-∅-a-y okwe,REFPOS-child-POSN wanting-NEG 3S-be-SF-UNP alas,She doesn’t love hee own child,,Hawkins (1998),Grammar Sketch,45,,,,
waiw1244,Wai Wai,Cariban,-hnî,NMLZ+NEG,suffix,,,,Koroka-nî rma mîn o-pono-n,wash-NMLZ+NEG yet 3PRO 1POSR-clothes-POSN,My clothes have not yet been washed,,Hawkins (1998),Grammar Sketch,50,,,,
waiw1244,Wai Wai,Cariban,pînî,NEG,word,,,,waiwai pîn owî,waiwai NEG 1PRO,I am not a waiwai,,Hawkins (1998),Grammar Sketch,,,,,
cogu1240,Kogi,Chibchan,-zhá,NEG,suffix,,,FUT ,Nak-a-zhá-líka,Come-ST-NEG-FUT,S/he won’t come,,Knuchel (2022),Grammar,184,,,,
cogu1240,Kogi,Chibchan,-zhá,NEG,suffix,,,PERSON,Ma-tũ-a-zhá-líka-uge,2SG.II-visit-ST-NEG-FUT-1SG.I,I won’t visit you,,Knuchel (2022),Grammar,147,,,,
cogu1240,Kogi,Chibchan,-zhá,NEG,suffix,,,PST,santa marta-ni nẽ-a-zhá-nka-ne,santa marta-ALL go-ST-NEG-1PL.I-PST,We did not go to Santa Marta,,Knuchel (2022),Grammar,183,,,,
cogu1240,Kogi,Chibchan,-kí,NEG.IPFV,suffix,,CAUS,,kali hakligi za amak men-gu-a-kí na-nal-á mukshinkala-li nuka tak tak tak,tree axe only like.that cut-CAUS-ST-NEG.IPFV SPKR.ASYM-be-HOD.PST back-INSTR only IDPH IDPH IDPH,"The axe wasn’t cutting the tree like that, [he only] hit them with the back [of the axe]",,Knuchel (2022),Grammar,71,,,,
cogu1240,Kogi,Chibchan,-zhá,NEG,suffix,,PERSON,,hinak nak-a-ma-zhá-líka,why come-ST-2SG.I-NEG-FUT,Why don’t you come? ,,Knuchel (2022),Grammar,145,,,,
cogu1240,Kogi,Chibchan,-ne  ,NEG.HAB,suffix,,PERSON,,awalinti tuk-a-nka-ne,aguardiente drink-ST-1PL.I-NEG.HAB,We do not drink aguardiente,,Knuchel (2022),Grammar,186,,,,
cogu1240,Kogi,Chibchan,-kí,NEG.IPFV,suffix,,PROG,,arróz nuk-a-tok-a-kí (ni-nok-kú),rice cook-ST-PROG-TH-NEG.IPFV SPKR.SYM-AUX.IPFV-1SG.I,I am not cooking rice,,Knuchel (2022),Grammar,185,,,,
cogu1240,Kogi,Chibchan,-gánga,not.yet,suffix,,,,José a-hui-k i-nok-a-gánga,josé 3SG.INAL-house-LOC LOC.APPL-be.located-ST-not.yet,José is not yet at home,,Knuchel (2022),Grammar,188,,,,
cogu1240,Kogi,Chibchan,-ksá,no.longer,suffix,,,,José a-hui-k i-nok-a-ksá,José 3SG.INAL-house-LOC LOC.APPL-be.located-ST-no.longer,José is no longer at home,,Knuchel (2022),Grammar,187,,,,
bord1248,Kuna,Chibchan,suli,NEG,enclitic,,,COND,dosiento metro-de imak-sur-dibe an=mar oito-le-go-do,two.hundred meter-TOP make-NEG-COND 1=PL hurt-PASS-PROS-RHET,"If (we) don’t make (it) two hundred meters (long), we are going to be screwed! (lit. We are going to be hurt)",,Smith (2014),Grammar,186,,,,
bord1248,Kuna,Chibchan,suli,NEG,enclitic,,,IPFV,Igwa dodo-sa-na an=mar galagu=suli-na,Igwa play-PFV-CTRFAC 1.SG=PL lose=NEG-IMPF,"Had Igwa played, we would not have lost",,Smith (2014),Grammar,233,,,,
bord1248,Kuna,Chibchan,suli,NEG,enclitic,,,PL,dak=o=sur=mala,see=FUT=NEG=PL,will not see,,Smith (2014),Grammar,109,,,,
bord1248,Kuna,Chibchan,suli,NEG,enclitic,,FUT,,itog-o=suli,listen-FUT=NEG,will not listen,,Smith (2014),Grammar,109,,,,
bord1248,Kuna,Chibchan,suli,NEG,enclitic,,PASS,,namak-leg-o=sulir=gebe,Sing-Passive.voice-FUT-NEG=AUX.VERB(Obligation),Must not be sung (future reading),,Smith (2014),Grammar,68,,,,
bord1248,Kuna,Chibchan,suli,NEG,enclitic,,PFV,,usdup=se be barmi-s=suli a-di,Usdub=ALL 2.SG send-PFV=NEG DEM-FOC,Didn’t you send her to Usdup?,,Smith (2014),Grammar,167,,,,
rama1270,Rama,Chibchan,-kama,NEG,suffix,,,COND,"naas abung aakuk-ut; n-aakuk-kama-ka, i-kan-i ",1 fire blow-TNS/MOD 1-blow-NEG-If/when 3-end-TNS,"I will/have to blow on the fire. If/when I don’t blow it, it goes out",,Grinevald (1990),Grammar,144,,,,
rama1270,Rama,Chibchan,-taama,NEG,suffix,,,PERSON,Nah-u y-uliin-i nah yu-alkwis-taama-ka,1-PSP/with 3-vex-TNS 1 RP/with-talk-NEG-SUB,She gets angry with me when I don’t talk with her,SUB = SUBJECT,Grinevald (1990),Grammar,189,,,,
rama1270,Rama,Chibchan,-taama,NEG,suffix,,,TENSE,nganguk taama n-akit-kata nah siik-taama-ut,money NEG I-be-if 1 come-NEG-TNS,"If I were to find myself with no money, I would not come",,Grinevald (1990),Grammar,149,,,,
rama1270,Rama,Chibchan,-taama,NEG,suffix,,,TENSE,Wark-i-ting-tahma-u,work-3-do-NEG-TNS,he never worked,,Grinevald (1990),Grammar,187,,,,
rama1270,Rama,Chibchan,-taama,NEG,suffix,,PROG,,Suuli-kaas y-auk-bakit-taama,Animal-meat NEG 3-roast-PROG-NEG,she was not roasting meat,,Grinevald (1990),Grammar,189,,,,
rama1270,Rama,Chibchan,aa-,NEG,particle,,,,nah rama aa=alkws-i,1 Rama NEG=speak-TNS,I don’t speak Rama,,Grinevald (1990),Grammar,183,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,COND,kaʃini yuta-tʃa-ku-ĩ-ka wi-ka wɨ-tata-ha-i,tomorrow rain+IMPFV-NEG-SIM-1/3:DS-COND 1SG-FOC go:PFV-FUT-1SG-DECL,"if it doesn’t rain tomorrow, I will work",,Overall 2007,Grammar,325,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,COP,Taa-tʃa-tinu-ka-aita-mɨ,return-NEG-FUT+NR-POLINT-COP-2S,aren’t you going to come back? ,,Overall 2007,Grammar,356,,VALENZUELA 1997,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",,COP,Paki-tʃau-aita-hi-i ii-aita-hi-i,white.liped-peccary-NEG-COP-1PL-DECL 1PL-COP-1PL-DECL,"we’re not peccaries, we’re us (i.e. people)",,Overall 2007,Grammar,211,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,DECL,wi kaʃini wɨ-a-ku-nu-ka taka-sa-tʃa-tata-ha-i,1SG tomorrow go-IMPFV-SIM-1SG:SS-COND work-ATT-NEG-FUT-1SG-DECL,"if I go tomorrow, I wont work",,Overall 2007,Grammar,391,,,,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,,DECL,ʃiiha antu-mai-inu dɨkapɨ-a-tsu-ha-i,well hear-POT-NR feel-IMPFV-NEG-1SG-DECL,I can’t hear (it) very well (lit. I don’t feel able to hear it) ,,Overall 2007,Grammar,300,300,,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",,DECL,Bukinti-na yu-tʃau-ha-i,palm.grub-ACC eat-NEG:REL-1SG-DECL,I don’t eat palm grubs,,Overall 2007,Grammar,420,,,,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,,FOC,Mi-na sai-hu-na-kɨ-ʃa uha-a-tsu-u-ka,1SG-ACC brother.in.law-PERT:1SG-ACC-RESTR-ADD tell-IMPFV-NEG-REL-FOC,without telling even my brother in law….,Present Tense and Reportive Past,Overall 2007,Grammar,232,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,FUT ,Daka-sa-tʃa-tata-ha-i ,wait-ATT-NEG-FUT-1SG-DECL,I will not wait,,Overall 2007,Grammar,325,349,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,HORT ,Wɨ-tʃa-mi,go:PFV-NEG-HORT,Let’s not go,,Overall 2007,Grammar,360,,!!!!!!,Vs 436 yama+PL,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,PERSON,Waina-ka-tʃa-amaia-ha-i,see-INTS-NEG-DISTPAST-1SG-DECL,I didn’t see (any),,Overall 2007,Grammar,325,,!!!!!!,ma en verbo!,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,,PERSON,Wi-ka dɨka-a-tsu-ha-i,1SG-FOC know-IMPFV-NEG-1SG-DECL,I don’t know ,Present Tense and Reportive Past,Overall 2007,Grammar,234,,,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",,PERSON,Yawaã-tʃau-ita-ha-i,Dog-NEG:REL-COP-1SG-DECL,I am not a dog,,Overall 2007,Grammar,68,,!!!!!!,pp2 al frente de ma ,Pagina 392
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,PL,Makitʃiki-ʃa ayamhu-ka-tʃa-aha-u-i,One-ADD defend-INTS-NEG-PL-REL-COP:3:DECL,Not even one defended (him),,Overall 2007,Grammar,235,410,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,PST,makitʃiki wi-ka yu-a-tʃa-ma-ha-i tsamau-na-ka,One-ADD 1SG-FOC eat-HIAF-NEG-RECPAST-1SG-DECL banana-ACC-FOC,I didn’t eat even one banana,,Overall 2007,Grammar,165,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,,REL,waamali hu-hu-ki-ta-humi waha-a-u nuni-tai-ʃakama antu-ka-tʃa-aha-u a-ina-wa-i,quickly take-1SG.OBJ-TRF-IMP-2PL call-IMPFV-REL do.that-SBD:1/3:DS-CONCESS listen-INTS-NEG-PL-REL COP-PL:IMPFV-3-DECL,"he was calling out “quickly take me away”, but although he did that, they didn’t listen",,Overall 2007,Grammar,410,410,,,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,,REL,Auha-tsu-u-ka papi-na-ka puhu-ia-ha-i,study+IMPFV-NEG-REL-FOC book-ACC-FOC live-REMPAST-1SG-DECL,I was not studying books,Present Tense and Reportive Past,Overall 2007,Grammar,283,394,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,ATT,,Taka-sá-tʃa-mí,Work-ATT-NEG-HORT,Let’s not work,,Overall 2007,Grammar,100,,,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",ATTR,,aha-hĩ-tu-tʃau,Garden-PERT:1PL/3-ATTRIB-NEG,one who does not have a garden,ATTRIB = Attributive,Overall 2007,Grammar,209,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,HIAF,,Yu-á-tʃa-mí,Eat-HIAF-NEG-HORT,Let’s not eat,,Overall 2007,Grammar,101,,,,
agua1253,Awajun,Chicham,-ʧa,NEG,suffix,v,INTS,,Makitʃiki-ʃa ayamhu-ka-tʃa-aha-u-i,One-ADD defend-INTS-NEG-PL-REL-COP:3:DECL,Not even one defended (him),,Overall 2007,Grammar,235,,,,
agua1253,Awajun,Chicham,-ʧau,NEG.REL,suffix,"v, n, adj",INTS,,iinia kaka-ka-tʃau waha-sa-u-ai,one.of.us be.strong-INTS-NEG:REL stand-ATT-REL-COP:3:DECL,our people were not strong,,Overall 2007,Grammar,122,,,,
agua1253,Awajun,Chicham,-tsu,NEG,suffix,v,IPFV,,Wi-ka yu-a-tsu-ha-i ,1SG-FOC eat-IMPFV-NEG-1SG-DECL,I am not eating,Present Tense and Reportive Past,Overall 2007,Grammar,325,,,,
